track_name,artists,energy,valence
ONE SHOT FREESTYLE,Motive,0.696,0.725
Saat 03.00 (By Erhan Bayrak),Bengü,0.966,0.533
Son Kez,Rota,0.486,0.394
Sahici,Bengü,0.776,0.715
n.h.i.e.,"21 Savage, Doja Cat",0.512,0.153
Kalp Hanım,Kalben,0.508,0.478
İstersen,Buray,0.671,0.687
Serseri Bey,Stabil,0.539,0.125
Muhtemel Aşk,"yirmi7, Birol Namoğlu",0.606,0.247
Ya Sîdî,Orange Blossom,0.421,0.039
Tabi Tabi,Sinan Akçıl,0.94,0.879
Miş Miş,Simge,0.872,0.603
Prenses,Hadise,0.737,0.946
Irgalamaz Beni,Gülşen,0.868,0.854
O Children,Nick Cave & The Bad Seeds,0.564,0.235
Yiğidim Aslanım Burda Yatıyor,"Fazıl Say, Serenad Bağcan",0.214,0.0729
Ağlar mıyım? Ağlamam,Ziynet Sali,0.677,0.679
Doya Doya,Kalben,0.506,0.391
Yansıma,"Derya Uluğ, Asil Gök",0.556,0.402
Geceler,Ezhel,0.497,0.339
Şehrimin Tadı,Ezhel,0.636,0.302
Do Not Disturb,Ufo361,0.64,0.105
ZOR,UZI,0.661,0.0643
Timeless (feat. Playboi Carti),"The Weeknd, Playboi Carti",0.722,0.57
First Person Shooter (feat. J. Cole),"Drake, J. Cole",0.655,0.245
Özür,Halodayı,0.52,0.538
Sana Çıkıyor Yollar - Kaderimin Oyunu Orijinal Dizi Müziği,Derya Uluğ,0.557,0.408
No Complaints (feat. Offset & Drake) (Bonus),"Metro Boomin, Offset, Drake",0.571,0.203
Beni Hatırla,Nazan Öncel,0.626,0.608
Öyle Kolaysa,Mabel Matiz,0.664,0.58
Mayın Tarlası,Şebnem Ferah,0.639,0.41
Yarasalar,Ati242,0.691,0.463
Fikrimin İnce Gülü,Müzeyyen Senar,0.373,0.533
كلام عينيه,Sherine,0.759,0.745
Ama Bana Bakma Öyle,VAGON,0.469,0.646
Hayat Devam Ediyor,Davut Güloğlu,0.845,0.756
Öpücem,Simge,0.783,0.788
Hot,INNA,0.94,0.596
İmkansızım,Ezhel,0.515,0.692
Sarışınım,Gülşen,0.945,0.86
Écoute Chérie,Vendredi sur Mer,0.647,0.689
Ne Farkeder,Yüzyüzeyken Konuşuruz,0.606,0.676
Rütbeni Bileceksin,Kenan Doğulu,0.69,0.887
Ait Hissetmiyorum,Ati242,0.538,0.328
Until I Found You (with Em Beihold) - Em Beihold Version,"Stephen Sanchez, Em Beihold",0.55,0.342
Mendilimde Kırmızım Var,"Mabel Matiz, Sibel Gürsoy",0.73,0.361
Köle,"Aydın Kurtoğlu, Hande Ünsal",0.715,0.476
Raptiye Rap Rap,Cem Karaca,0.442,0.3
Dark Red,Steve Lacy,0.784,0.769
